0;160;10;6599;1000;0.140934085
1;320;17;22290;1000;0.69320904
2;500;17;18587;1000;0.756425437
3;500;16;11999;512;0.736823361
4;500;15;19043;512;0.664366271
5;640;17;39990;1000;0.568212702
6;320;13;16548;2000;0.745672099
7;320;22;20795;2000;0.741397042
8;320;16;13763;512;0.655874752
9;640;25;22788;1000;0.430481996
10;320;31;17567;512;0.265013484
11;640;17;31390;1000;0.599996336
12;500;17;22990;512;0.652192498
13;160;12;7548;1000;0.290242855
14;160;10;7727;1000;0.191619324
15;320;15;13188;2000;0.901154186
16;320;15;19590;256;0.57165528
17;320;14;20459;2000;0.7743178
18;250;17;19307;512;0.605060329
19;320;16;18071;2000;0.891987807
20;320;16;12443;2000;0.917920303
21;160;10;7403;1000;0.177060798
22;640;16;16788;1000;0.674599169
23;160;12;7403;1000;0.283727465
24;250;14;19188;2000;0.76222555
25;160;10;7643;1000;0.187844892
26;500;18;26987;1000;0.688962049
27;320;16;13540;2000;0.912865586
28;250;16;27779;2000;0.829306915
29;250;12;10499;2000;0.644604209
30;500;16;13199;512;0.704627377
31;640;16;19991;1000;0.686507167
32;250;10;6990;1000;0.181580094
33;500;16;21490;1000;0.750369359
34;320;16;11327;2000;0.923062568
35;640;16;21347;1000;0.680259039
36;320;16;15731;512;0.646806672
37;160;10;6666;1000;0.143944644
38;160;10;8387;1000;0.221275581
39;500;16;16390;512;0.689924002
40;250;15;26388;256;0.522382982
41;250;12;10787;2000;0.657545121
42;160;16;8099;2000;0.753686351
43;500;25;14759;512;0.480968677
44;250;10;13188;2000;0.523205468
45;250;16;10668;2000;0.892198008
46;160;12;7490;1000;0.287636699
47;500;13;17790;512;0.530139799
48;640;18;47327;1000;0.49780423
49;160;16;10290;1000;0.680117789
50;250;12;10559;2000;0.647300232
51;160;10;7163;1000;0.166276705
52;250;10;8039;1000;0.228715569
53;500;16;11843;512;0.710875505
54;160;10;6899;1000;0.154414202
55;640;16;39959;1000;0.567832667
56;250;12;11390;2000;0.638156894
57;320;16;17543;512;0.638457404
58;250;12;12107;2000;0.661519794
59;160;12;7668;1000;0.295634901
60;250;12;10487;2000;0.644065004
61;250;10;8915;2000;0.446762525
62;160;12;7427;1000;0.284805874
63;250;14;37187;2000;0.679290404
64;500;16;13223;512;0.704516791
65;500;13;19187;512;0.523702752
66;500;16;12348;512;0.708548584
67;250;31;27587;2000;0.456858273
68;500;16;17627;512;0.684224198
69;320;15;21827;2000;0.861347712
70;500;16;37990;1000;0.690550402
71;320;13;20015;512;0.473733678
72;500;16;14783;512;0.723995346
73;320;16;18419;1000;0.745032623
74;320;13;15416;512;0.494924785
75;500;16;17988;512;0.682560795
76;500;16;16751;512;0.688260599
77;320;16;11267;2000;0.923339034
78;500;16;36990;1000;0.695158166
79;320;13;17819;512;0.483852328
80;500;22;17639;512;0.546129689
81;160;10;6707;1000;0.145786927
82;500;17;15143;1000;0.772294576
83;320;16;13511;512;0.657035909
84;500;17;19715;1000;0.751227879
85;500;15;20387;1000;0.74211839
86;500;16;16271;512;0.690472326
87;250;10;6948;1000;0.179692877
88;500;16;54395;1000;0.598750882
89;320;16;11135;512;0.667983956
90;320;15;20027;512;0.613678385
91;250;16;15588;2000;0.885480167
92;320;22;9659;2000;0.726769384
93;250;10;9390;1000;0.296087695
94;250;12;10990;2000;0.666666667
95;500;16;15323;512;0.694840486
96;500;22;16511;512;0.551327247
97;320;31;16067;512;0.27192513
98;320;16;16415;2000;0.899618264
99;500;16;14748;512;0.697489951
100;500;17;17219;1000;0.762728858
101;250;10;8387;1000;0.244352504
102;320;16;13188;512;0.658524216
103;500;16;14315;1000;0.783430067
104;250;10;7199;1000;0.190971242
105;500;17;15926;512;0.684741743
106;250;16;13427;2000;0.895437546
107;250;10;10490;1000;0.338848123
108;250;10;8689;1000;0.257922489
109;160;10;6539;1000;0.138238062
110;160;12;9479;1000;0.40367654
111;500;16;20028;1000;0.783772577
112;160;10;6767;1000;0.14848295
113;500;13;22679;512;0.50761244
114;640;17;25439;1000;0.62741714
115;320;15;42588;512;0.509722619
116;320;16;13943;512;0.655045355
117;320;16;16490;512;0.636642713
118;500;16;25187;1000;0.733334455
119;320;16;12743;512;0.660574671
120;500;17;14123;512;0.700892679
121;640;16;26490;1000;0.629894641
122;160;31;13355;2000;0.499359048
123;500;16;21599;512;0.665922159
124;500;16;20135;1000;0.75661288
125;250;12;10739;2000;0.655388302
126;500;16;20999;512;0.668686817
127;250;10;7979;1000;0.226019545
128;320;17;16991;512;0.633680628
129;120;11;34907;2000;0.46312944
130;500;17;21239;1000;0.744205647
131;320;15;21990;1000;0.688578298
132;320;16;23267;512;0.612082562
133;320;31;35627;2000;0.437760568
134;500;16;12443;2000;0.96407415
135;160;10;8579;1000;0.236569523
136;320;16;17819;2000;0.893148964
137;500;16;13007;2000;0.961475371
138;500;17;16511;512;0.689889338
139;320;16;30719;1000;0.661690458
140;320;17;19019;512;0.624336083
141;250;15;18359;2000;0.85937872
142;160;10;9335;1000;0.270539417
143;250;12;12155;2000;0.661298622
144;320;14;15708;512;0.540245984
145;640;18;28259;1000;0.585665075
146;500;15;25655;1000;0.717844689
147;320;12;27599;256;0.308085031
148;500;16;13883;512;0.701475667
149;320;16;22439;2000;0.871861094
150;500;16;15828;1000;0.803125186
151;250;10;8387;2000;0.416370853
152;500;16;26990;1000;0.741235807
153;500;16;14975;512;0.696443988
154;320;14;20807;2000;0.772714298
155;250;10;7583;1000;0.208225791
156;640;16;17988;1000;0.669069852
157;320;12;10067;2000;0.643141559
158;250;10;7259;1000;0.193667265
